level,resource_type,title,file_id,size_mb
starter,student_book_pdf,American-English-File-Starter-SB.pdf,BQACAgQAAxkBAAMIaqKvwn5qXg0TUKJmvxzKl3oGUL4AAgcmAALgXAABUVyfGEfHCB32PQQ,115.05
starter,student_book_audio,American-English-File-Starter-SB.zip,BQACAgQAAxkBAAMJaqKvwmEltXZ-0au8H38Ca-6vV-oAAggmAALgXAABUdLt4G0M3l-9PQQ,185.34
starter,workbook_pdf,American-English-File-Starter-WB.pdf,BQACAgQAAxkBAAMKaqKvwqiFArg3Av1h5CrpXvk61xsAAgkmAALgXAABUeYzNTE4hkDTPQQ,25.68
starter,workbook_audio,American-English-File-Starter-WB.zip,BQACAgQAAxkBAAMLaqKvwt_nvXVw5nz4qxfOoYe4t7cAAgomAALgXAABUWGeFrXzSeUBPQQ,24.6
starter,teacher_pdf,American-English-File-Starter-TG.pdf,BQACAgQAAxkBAAMMaqKvwpUOmOxhtVcRbpz6hrmyYCUAAgsmAALgXAABUazgXNAnCSOqPQQ,24.66
starter,practical_video,AEFs-3e-Practical-English-Videos.zip,BQACAgQAAxkBAAMNaqKvwi6Zlj4-7tR3A0iqX8sruKsAAgwmAALgXAABUXVU172NoutHPQQ,237.33
starter,review_video,AEFs-3e-Review-and-Check-Videos.zip,BQACAgQAAxkBAAMOaqKvwpKuEd8BdeTeS9ha0SHsjesAAg0mAALgXAABUXlS7o9YvE-3PQQ,49.86
starter,listening_video,AEFs-3e-Video-Listening-All-Video.zip,BQACAgQAAxkBAAMPaqKvwvcKJI0PYuGTjqv3h0q21pQAAg4mAALgXAABUd1hbyUEGiZBPQQ,168.91
level_1,student_book_pdf,American-English-File-Book1-SB.pdf,BQACAgQAAxkBAAMdaqKxE8DTtx-wT01gn8fIqgqImCEAAg8mAALgXAABUapxJeTS0wt6PQQ,90.65
level_1,student_book_audio,American-English-File-Book1-SB.zip,BQACAgQAAxkBAAMeaqKxEzrBcqdVLHmyDWJb_kZdNOsAAhAmAALgXAABUa8bF_MiAAGpkD0E,197.22
level_1,workbook_pdf,American-English-File-Book1-WB.pdf,BQACAgQAAxkBAAMfaqKxE5DNQy7qyoQWb-A0w7O0wPkAAhEmAALgXAABURN85mYzheMvPQQ,39.46
level_1,workbook_audio,American-English-File-Book1-WB.zip,BQACAgQAAxkBAAMgaqKxE1oyU8yzrk2j9tmZsJnD42QAAhImAALgXAABURSuop1wl-kAAT0E,29.26
level_1,teacher_pdf,American-English-File-Book1-TG.pdf,BQACAgQAAxkBAAMhaqKxE9TYI81fSbUfeweUKwphgGkAAhMmAALgXAABUebTQy-o2-gLPQQ,18.33
level_1,practical_video,AEF1-3e-Practical-English-Videos.zip,BQACAgQAAxkBAAMiaqKxE783a8e9tPjYKGr9ISJqMu4AAhQmAALgXAABUeTHEgJWVpWcPQQ,852.0
level_1,review_video,AEF1-3e-Review-and-Check-Videos.zip,BQACAgQAAxkBAAMjaqKxE6BebIm-CMxqMWBnrjIhNR4AAhUmAALgXAABUYfd-pU4Og4fPQQ,197.58
level_1,listening_video,AEF1-3e-Video-Listening-All-Video.zip,BQACAgQAAxkBAAMkaqKxE0HoFRPQZS40rP9N-eb_iqcAAhcmAALgXAABUbKsB5kHzNu8PQQ,478.66
level_1,script_pdf,AEF3e-Level-1-Video-script.pdf,BQACAgQAAxkBAAMlaqKxE61xAdxMZRq2pPao-rdkEycAAhgmAALgXAABUaPW-coWWDRqPQQ,0.61
level_2,student_book_pdf,American-English-File-Book2-SB.pdf,BQACAgQAAxkBAAMpaqKxLI_zbSVhfos6yIW0LO6xgSwAAhkmAALgXAABUSqAbNp6CVtJPQQ,88.72
level_2,student_book_audio,American-English-File-Book2-SB.zip,BQACAgQAAxkBAAMqaqKxLLefiIDZxZnJIngRejADb6MAAhsmAALgXAABUa07-tfBUS9GPQQ,566.46
level_2,workbook_pdf,American-English-File-Book2-WB.pdf,BQACAgQAAxkBAAMraqKxLF4r9qZ2LQ0QCUyt2JNbKV8AAhwmAALgXAABURYou6u_VRSqPQQ,21.48
level_2,workbook_audio,American-English-File-Book2-WB.zip,BQACAgQAAxkBAAMsaqKxLCXwMOazsGdagyk10j2oQP4AAh0mAALgXAABUUOBvLmerDY4PQQ,27.73
level_2,teacher_pdf,American-English-File-Book2-TG.pdf,BQACAgQAAxkBAAMtaqKxLDvylVRq9bNk6t_DTMivAAFkAAIeJgAC4FwAAVEKy_gw_-5bgz0E,23.59
level_2,practical_video,AEF2-3e-Practical-English-Videos.zip,BQACAgQAAxkBAAMuaqKxLJ-xmbO1uWm0vnF3D6QeyE8AAh8mAALgXAABUUN6ids8nBA9PQQ,750.14
level_2,review_video,AEF2-3e-Review-and-Check-Videos.zip,BQACAgQAAxkBAAMvaqKxLHDkYCRBO4kjb7jSENrwqb8AAiAmAALgXAABUXManc1-I7g3PQQ,211.0
level_2,listening_video,AEF2-3e-Video-Listening-All-Video.zip,BQACAgQAAxkBAAMwaqKxLBKJclxC-prdt0wsaUsUBCYAAiEmAALgXAABUa06wkSP0D7dPQQ,750.76
level_2,script_pdf,AEF3e-Level-2-Video-script.pdf,BQACAgQAAxkBAAMxaqKxLFcfgpq3PMrXWDJzoLpeJ7MAAiImAALgXAABUTXFI4luqWS0PQQ,0.79
